Season,Team,League,Games,Championship_Season,Stat,Value,Stat_Type
2021,SFN,NL,113,False,Hits_per_Game,1.0619469026548674,Regular Season Per-Game
2009,SFN,NL,7,False,HR_per_Game,0.0,Regular Season Per-Game
2010,SFN,NL,108,True,HR_per_Game,0.16666666666666666,Regular Season Per-Game
2011,SFN,NL,45,False,HR_per_Game,0.08888888888888889,Regular Season Per-Game
2012,SFN,NL,148,True,HR_per_Game,0.16216216216216217,Regular Season Per-Game
2013,SFN,NL,148,False,HR_per_Game,0.10135135135135136,Regular Season Per-Game
2014,SFN,NL,147,True,HR_per_Game,0.14965986394557823,Regular Season Per-Game
2015,SFN,NL,150,False,HR_per_Game,0.12666666666666668,Regular Season Per-Game
2016,SFN,NL,146,False,HR_per_Game,0.0958904109589041,Regular Season Per-Game
2017,SFN,NL,140,False,HR_per_Game,0.08571428571428572,Regular Season Per-Game
2018,SFN,NL,105,False,HR_per_Game,0.047619047619047616,Regular Season Per-Game
2019,SFN,NL,114,False,HR_per_Game,0.06140350877192982,Regular Season Per-Game
2021,SFN,NL,113,False,HR_per_Game,0.1592920353982301,Regular Season Per-Game
2009,SFN,NL,7,False,RBI_per_Game,0.0,Regular Season Per-Game
2010,SFN,NL,108,True,RBI_per_Game,0.6203703703703703,Regular Season Per-Game
2011,SFN,NL,45,False,RBI_per_Game,0.4666666666666667,Regular Season Per-Game
2012,SFN,NL,148,True,RBI_per_Game,0.6959459459459459,Regular Season Per-Game
2013,SFN,NL,148,False,RBI_per_Game,0.4864864864864865,Regular Season Per-Game
2014,SFN,NL,147,True,RBI_per_Game,0.6054421768707483,Regular Season Per-Game
2015,SFN,NL,150,False,RBI_per_Game,0.6333333333333333,Regular Season Per-Game
2016,SFN,NL,146,False,RBI_per_Game,0.547945205479452,Regular Season Per-Game
2017,SFN,NL,140,False,RBI_per_Game,0.4785714285714286,Regular Season Per-Game
2018,SFN,NL,105,False,RBI_per_Game,0.3904761904761905,Regular Season Per-Game
2019,SFN,NL,114,False,RBI_per_Game,0.3333333333333333,Regular Season Per-Game
2021,SFN,NL,113,False,RBI_per_Game,0.49557522123893805,Regular Season Per-Game
2009,SFN,NL,7,False,Runs_per_Game,0.14285714285714285,Regular Season Per-Game
2010,SFN,NL,108,True,Runs_per_Game,0.5370370370370371,Regular Season Per-Game
2011,SFN,NL,45,False,Runs_per_Game,0.37777777777777777,Regular Season Per-Game
2012,SFN,NL,148,True,Runs_per_Game,0.527027027027027,Regular Season Per-Game
2013,SFN,NL,148,False,Runs_per_Game,0.41216216216216217,Regular Season Per-Game
2014,SFN,NL,147,True,Runs_per_Game,0.4897959183673469,Regular Season Per-Game
2015,SFN,NL,150,False,Runs_per_Game,0.49333333333333335,Regular Season Per-Game
2016,SFN,NL,146,False,Runs_per_Game,0.5616438356164384,Regular Season Per-Game
2017,SFN,NL,140,False,Runs_per_Game,0.44285714285714284,Regular Season Per-Game
2018,SFN,NL,105,False,Runs_per_Game,0.44761904761904764,Regular Season Per-Game
2019,SFN,NL,114,False,Runs_per_Game,0.37719298245614036,Regular Season Per-Game
2021,SFN,NL,113,False,Runs_per_Game,0.6017699115044248,Regular Season Per-Game
2009,SFN,NL,7,False,Walks_per_Game,0.0,Regular Season Per-Game
2010,SFN,NL,108,True,Walks_per_Game,0.2777777777777778,Regular Season Per-Game
2011,SFN,NL,45,False,Walks_per_Game,0.4,Regular Season Per-Game
2012,SFN,NL,148,True,Walks_per_Game,0.46621621621621623,Regular Season Per-Game
2013,SFN,NL,148,False,Walks_per_Game,0.40540540540540543,Regular Season Per-Game
2014,SFN,NL,147,True,Walks_per_Game,0.3197278911564626,Regular Season Per-Game
