Season,Team,League,Games,Stat,Value,Stat_Type
2009,SFN,NL,7,Slugging_Percentage,0.11764705882352941,Rate Stat
2010,SFN,NL,108,Slugging_Percentage,0.5049261083743842,Rate Stat
2011,SFN,NL,45,Slugging_Percentage,0.3888888888888889,Rate Stat
2012,SFN,NL,148,Slugging_Percentage,0.5490566037735849,Rate Stat
2013,SFN,NL,148,Slugging_Percentage,0.45,Rate Stat
2014,SFN,NL,147,Slugging_Percentage,0.489945155393053,Rate Stat
2015,SFN,NL,150,Slugging_Percentage,0.4703770197486535,Rate Stat
2016,SFN,NL,146,Slugging_Percentage,0.43413729128014844,Rate Stat
2017,SFN,NL,140,Slugging_Percentage,0.46153846153846156,Rate Stat
2018,SFN,NL,105,Slugging_Percentage,0.38190954773869346,Rate Stat
2019,SFN,NL,114,Slugging_Percentage,0.36790123456790125,Rate Stat
2021,SFN,NL,113,Slugging_Percentage,0.49873417721518987,Rate Stat
2009,SFN,NL,7,OPS,0.23529411764705882,Rate Stat
2010,SFN,NL,108,OPS,0.8615852505865739,Rate Stat
2011,SFN,NL,45,OPS,0.7564564564564564,Rate Stat
2012,SFN,NL,148,OPS,0.9572533250850603,Rate Stat
2013,SFN,NL,148,OPS,0.8214285714285714,Rate Stat
2014,SFN,NL,147,OPS,0.8535815190294167,Rate Stat
2015,SFN,NL,150,OPS,0.8491892187855716,Rate Stat
2016,SFN,NL,146,OPS,0.7957008091954578,Rate Stat
2017,SFN,NL,140,OPS,0.8611863488624052,Rate Stat
2018,SFN,NL,105,OPS,0.7412845477386935,Rate Stat
2019,SFN,NL,114,OPS,0.687721054387721,Rate Stat
2021,SFN,NL,113,OPS,0.8886020186248815,Rate Stat
2009,SFN,NL,7,Hits_per_Game,0.2857142857142857,Per-Game Rate
2010,SFN,NL,108,Hits_per_Game,1.1481481481481481,Per-Game Rate
2011,SFN,NL,45,Hits_per_Game,1.0222222222222221,Per-Game Rate
2012,SFN,NL,148,Hits_per_Game,1.2027027027027026,Per-Game Rate
2013,SFN,NL,148,Hits_per_Game,1.0337837837837838,Per-Game Rate
2014,SFN,NL,147,Hits_per_Game,1.1564625850340136,Per-Game Rate
2015,SFN,NL,150,Hits_per_Game,1.18,Per-Game Rate
2016,SFN,NL,146,Hits_per_Game,1.0616438356164384,Per-Game Rate
2017,SFN,NL,140,Hits_per_Game,1.1285714285714286,Per-Game Rate
2018,SFN,NL,105,Hits_per_Game,1.0761904761904761,Per-Game Rate
2019,SFN,NL,114,Hits_per_Game,0.9122807017543859,Per-Game Rate
2021,SFN,NL,113,Hits_per_Game,1.0619469026548674,Per-Game Rate
2009,SFN,NL,7,HR_per_Game,0.0,Per-Game Rate
2010,SFN,NL,108,HR_per_Game,0.16666666666666666,Per-Game Rate
2011,SFN,NL,45,HR_per_Game,0.08888888888888889,Per-Game Rate
2012,SFN,NL,148,HR_per_Game,0.16216216216216217,Per-Game Rate
2013,SFN,NL,148,HR_per_Game,0.10135135135135136,Per-Game Rate
2014,SFN,NL,147,HR_per_Game,0.14965986394557823,Per-Game Rate
2015,SFN,NL,150,HR_per_Game,0.12666666666666668,Per-Game Rate
2016,SFN,NL,146,HR_per_Game,0.0958904109589041,Per-Game Rate
2017,SFN,NL,140,HR_per_Game,0.08571428571428572,Per-Game Rate
2018,SFN,NL,105,HR_per_Game,0.047619047619047616,Per-Game Rate
2019,SFN,NL,114,HR_per_Game,0.06140350877192982,Per-Game Rate
2021,SFN,NL,113,HR_per_Game,0.1592920353982301,Per-Game Rate
2009,SFN,NL,7,RBI_per_Game,0.0,Per-Game Rate
2010,SFN,NL,108,RBI_per_Game,0.6203703703703703,Per-Game Rate
2011,SFN,NL,45,RBI_per_Game,0.4666666666666667,Per-Game Rate
2012,SFN,NL,148,RBI_per_Game,0.6959459459459459,Per-Game Rate
2013,SFN,NL,148,RBI_per_Game,0.4864864864864865,Per-Game Rate
2014,SFN,NL,147,RBI_per_Game,0.6054421768707483,Per-Game Rate
2015,SFN,NL,150,RBI_per_Game,0.6333333333333333,Per-Game Rate
2016,SFN,NL,146,RBI_per_Game,0.547945205479452,Per-Game Rate
2017,SFN,NL,140,RBI_per_Game,0.4785714285714286,Per-Game Rate
2018,SFN,NL,105,RBI_per_Game,0.3904761904761905,Per-Game Rate
2019,SFN,NL,114,RBI_per_Game,0.3333333333333333,Per-Game Rate
2021,SFN,NL,113,RBI_per_Game,0.49557522123893805,Per-Game Rate
2009,SFN,NL,7,Runs_per_Game,0.14285714285714285,Per-Game Rate
2010,SFN,NL,108,Runs_per_Game,0.5370370370370371,Per-Game Rate
2011,SFN,NL,45,Runs_per_Game,0.37777777777777777,Per-Game Rate
2012,SFN,NL,148,Runs_per_Game,0.527027027027027,Per-Game Rate
2013,SFN,NL,148,Runs_per_Game,0.41216216216216217,Per-Game Rate
2014,SFN,NL,147,Runs_per_Game,0.4897959183673469,Per-Game Rate
2015,SFN,NL,150,Runs_per_Game,0.49333333333333335,Per-Game Rate
2016,SFN,NL,146,Runs_per_Game,0.5616438356164384,Per-Game Rate
2017,SFN,NL,140,Runs_per_Game,0.44285714285714284,Per-Game Rate
2018,SFN,NL,105,Runs_per_Game,0.44761904761904764,Per-Game Rate
2019,SFN,NL,114,Runs_per_Game,0.37719298245614036,Per-Game Rate
2021,SFN,NL,113,Runs_per_Game,0.6017699115044248,Per-Game Rate
2009,SFN,NL,7,Walks_per_Game,0.0,Per-Game Rate
2010,SFN,NL,108,Walks_per_Game,0.2777777777777778,Per-Game Rate
2011,SFN,NL,45,Walks_per_Game,0.4,Per-Game Rate
2012,SFN,NL,148,Walks_per_Game,0.46621621621621623,Per-Game Rate
2013,SFN,NL,148,Walks_per_Game,0.40540540540540543,Per-Game Rate
2014,SFN,NL,147,Walks_per_Game,0.3197278911564626,Per-Game Rate
2015,SFN,NL,150,Walks_per_Game,0.37333333333333335,Per-Game Rate
2016,SFN,NL,146,Walks_per_Game,0.4383561643835616,Per-Game Rate
2017,SFN,NL,140,Walks_per_Game,0.4357142857142857,Per-Game Rate
2018,SFN,NL,105,Walks_per_Game,0.42857142857142855,Per-Game Rate
2019,SFN,NL,114,Walks_per_Game,0.2982456140350877,Per-Game Rate
2021,SFN,NL,113,Walks_per_Game,0.49557522123893805,Per-Game Rate
2009,SFN,NL,7,Strikeouts_per_Game,0.5714285714285714,Per-Game Rate
2010,SFN,NL,108,Strikeouts_per_Game,0.5092592592592593,Per-Game Rate
2011,SFN,NL,45,Strikeouts_per_Game,0.6666666666666666,Per-Game Rate
2012,SFN,NL,148,Strikeouts_per_Game,0.6486486486486487,Per-Game Rate
2013,SFN,NL,148,Strikeouts_per_Game,0.47297297297297297,Per-Game Rate
2014,SFN,NL,147,Strikeouts_per_Game,0.46938775510204084,Per-Game Rate
2015,SFN,NL,150,Strikeouts_per_Game,0.3466666666666667,Per-Game Rate
2016,SFN,NL,146,Strikeouts_per_Game,0.4657534246575342,Per-Game Rate
2017,SFN,NL,140,Strikeouts_per_Game,0.4714285714285714,Per-Game Rate
2018,SFN,NL,105,Strikeouts_per_Game,0.5047619047619047,Per-Game Rate
2019,SFN,NL,114,Strikeouts_per_Game,0.6228070175438597,Per-Game Rate
2021,SFN,NL,113,Strikeouts_per_Game,0.7699115044247787,Per-Game Rate
2009,SFN,NL,7,Doubles_per_Game,0.0,Per-Game Rate
2010,SFN,NL,108,Doubles_per_Game,0.21296296296296297,Per-Game Rate
2011,SFN,NL,45,Doubles_per_Game,0.1111111111111111,Per-Game Rate
2012,SFN,NL,148,Doubles_per_Game,0.2635135135135135,Per-Game Rate
2013,SFN,NL,148,Doubles_per_Game,0.22972972972972974,Per-Game Rate
2014,SFN,NL,147,Doubles_per_Game,0.19047619047619047,Per-Game Rate
2015,SFN,NL,150,Doubles_per_Game,0.18666666666666668,Per-Game Rate
2016,SFN,NL,146,Doubles_per_Game,0.22602739726027396,Per-Game Rate
2017,SFN,NL,140,Doubles_per_Game,0.24285714285714285,Per-Game Rate
2018,SFN,NL,105,Doubles_per_Game,0.20952380952380953,Per-Game Rate
2019,SFN,NL,114,Doubles_per_Game,0.21052631578947367,Per-Game Rate
2021,SFN,NL,113,Doubles_per_Game,0.20353982300884957,Per-Game Rate
2009,SFN,NL,7,Triples_per_Game,0.0,Per-Game Rate
2010,SFN,NL,108,Triples_per_Game,0.018518518518518517,Per-Game Rate
2011,SFN,NL,45,Triples_per_Game,0.0,Per-Game Rate
2012,SFN,NL,148,Triples_per_Game,0.006756756756756757,Per-Game Rate
2013,SFN,NL,148,Triples_per_Game,0.006756756756756757,Per-Game Rate
2014,SFN,NL,147,Triples_per_Game,0.013605442176870748,Per-Game Rate
2015,SFN,NL,150,Triples_per_Game,0.0,Per-Game Rate
2016,SFN,NL,146,Triples_per_Game,0.0136986301369863,Per-Game Rate
2017,SFN,NL,140,Triples_per_Game,0.0,Per-Game Rate
2018,SFN,NL,105,Triples_per_Game,0.009523809523809525,Per-Game Rate
2019,SFN,NL,114,Triples_per_Game,0.0,Per-Game Rate
2021,SFN,NL,113,Triples_per_Game,0.0,Per-Game Rate
